map
	ez_tower
end

value
	48.000,-89.405,-66.385,41.297,28.150,-545.200,0.000,1.470,2.970,-40.359,0,0,0,1,0,1,
	48.006,-89.304,-66.332,40.496,28.150,-546.800,0.000,5.049,2.650,-40.033,0,0,0,1,0,1,
	48.011,-89.304,-66.332,40.496,28.150,-548.100,0.000,5.049,2.650,-40.033,0,0,0,1,0,1,
	48.015,-89.304,-66.332,40.496,28.150,-549.300,0.000,5.049,2.650,-40.033,0,0,0,1,0,1,
	48.019,-89.304,-66.332,40.496,28.150,-550.250,0.000,5.049,2.650,-40.033,0,0,0,1,0,1,
	48.023,-89.304,-66.332,40.496,28.150,-551.150,0.000,5.049,2.650,-40.033,0,0,0,1,0,1,
	48.027,-89.121,-66.285,39.712,28.150,-552.200,0.000,9.158,2.330,-39.224,0,0,0,1,0,1,
	48.033,-89.121,-66.285,39.712,28.150,-553.300,0.000,9.158,2.330,-39.224,0,0,0,1,0,1,
	48.038,-89.121,-66.285,39.712,28.150,-554.300,0.000,9.158,2.330,-39.224,0,0,0,1,0,1,
	48.041,-89.121,-66.285,39.712,28.150,-555.250,0.000,9.158,2.330,-39.224,0,0,0,1,0,1,
	48.046,-88.882,-66.245,38.943,28.150,-556.150,0.000,11.938,2.010,-38.466,0,0,0,1,0,1,
	48.052,-88.882,-66.245,38.943,28.150,-557.050,0.000,11.938,2.010,-38.466,0,0,0,1,0,1,
	48.055,-88.882,-66.245,38.943,28.150,-557.750,0.000,11.938,2.010,-38.466,0,0,0,1,0,1,
	48.059,-88.882,-66.245,38.943,28.100,-558.550,0.000,11.938,2.010,-38.466,0,0,0,1,0,1,
	48.063,-88.882,-66.245,38.943,28.100,-559.200,0.000,11.938,2.010,-38.466,0,0,0,1,0,1,
	48.068,-88.591,-66.211,38.191,28.050,-559.850,0.000,14.560,1.690,-37.553,0,0,0,1,0,1,
	48.073,-88.591,-66.211,38.191,28.050,-560.750,0.000,14.560,1.690,-37.553,0,0,0,1,0,1,
	48.077,-88.591,-66.211,38.191,28.000,-561.450,0.000,14.560,1.690,-37.553,0,0,0,1,0,1,
	48.082,-88.591,-66.211,38.191,28.000,-561.950,0.000,14.560,1.690,-37.553,0,0,0,1,0,1,
	48.085,-88.264,-66.184,37.455,27.950,-562.500,0.000,16.352,1.370,-36.830,0,0,0,1,0,1,
	48.090,-88.264,-66.184,37.455,27.900,-562.950,0.000,16.352,1.370,-36.830,0,0,0,1,0,1,
	48.093,-88.264,-66.184,37.455,27.900,-563.500,0.000,16.352,1.370,-36.830,0,0,0,1,0,1,
	48.097,-88.264,-66.184,37.455,27.850,-563.850,0.000,16.352,1.370,-36.830,0,0,0,1,0,1,
	48.100,-88.264,-66.184,37.455,27.850,-564.250,0.000,16.352,1.370,-36.830,0,0,0,1,0,1,
	48.104,-88.264,-66.184,37.455,27.850,-564.550,0.000,16.352,1.370,-36.830,0,0,0,1,0,1,
	48.107,-87.903,-66.163,36.733,27.800,-564.900,0.000,18.015,1.050,-36.071,0,0,0,1,0,1,
	48.111,-87.903,-66.163,36.733,27.800,-565.300,0.000,18.015,1.050,-36.071,0,0,0,1,0,1,
	48.116,-87.903,-66.163,36.733,27.750,-565.700,0.000,18.015,1.050,-36.071,0,0,0,1,0,1,
	48.121,-87.903,-66.163,36.733,27.750,-566.000,0.000,18.015,1.050,-36.071,0,0,0,1,0,1,
	48.124,-87.903,-66.163,36.733,27.750,-566.300,0.000,18.015,1.050,-36.071,0,0,0,1,0,1,
	48.129,-87.521,-66.148,36.023,27.700,-566.600,0.000,19.119,0.730,-35.525,0,0,0,1,0,1,
	48.134,-87.521,-66.148,36.023,27.700,-567.000,0.000,19.119,0.730,-35.525,0,0,0,1,0,1,
	48.140,-87.521,-66.148,36.023,27.650,-567.300,0.000,19.119,0.730,-35.525,0,0,0,1,0,1,
	48.147,-87.126,-66.140,35.319,27.650,-567.800,0.000,19.745,0.410,-35.202,0,0,0,1,0,1,
	48.154,-87.126,-66.140,35.319,27.600,-568.250,0.000,19.745,0.410,-35.202,0,0,0,1,0,1,
	48.160,-87.126,-66.140,35.319,27.550,-568.600,0.000,19.745,0.410,-35.202,0,0,0,1,0,1,
	48.170,-86.715,-66.138,34.624,27.500,-569.300,0.000,20.548,0.090,-34.764,0,0,0,1,0,1,
	48.178,-86.715,-66.138,34.624,27.450,-569.950,0.000,20.548,0.090,-34.764,0,0,0,1,0,1,
	48.184,-86.715,-66.138,34.624,27.400,-570.400,0.000,20.548,0.090,-34.764,0,0,0,1,0,1,
	48.189,-86.282,-66.143,33.941,27.350,-570.900,0.000,21.642,-0.230,-34.122,0,0,0,1,0,1,
	48.197,-86.282,-66.143,33.941,27.300,-571.650,0.000,21.642,-0.230,-34.122,0,0,0,1,0,1,
	48.204,-86.282,-66.143,33.941,27.250,-572.150,0.000,21.642,-0.230,-34.122,0,0,0,1,0,1,
	48.209,-85.828,-66.154,33.272,27.200,-572.700,0.000,22.687,-0.550,-33.466,0,0,0,1,0,1,
	48.215,-85.828,-66.154,33.272,27.150,-573.350,0.000,22.687,-0.550,-33.466,0,0,0,1,0,1,
	48.222,-85.828,-66.154,33.272,27.100,-573.900,0.000,22.687,-0.550,-33.466,0,0,0,1,0,1,
	48.228,-85.354,-66.171,32.616,27.050,-574.500,0.000,23.712,-0.870,-32.777,0,0,0,1,0,1,
	48.233,-85.354,-66.171,32.616,27.050,-575.200,0.000,23.712,-0.870,-32.777,0,0,0,1,0,1,
	48.239,-85.354,-66.171,32.616,27.000,-575.750,0.000,23.712,-0.870,-32.777,0,0,0,1,0,1,
	48.244,-85.354,-66.171,32.616,27.000,-576.450,0.000,23.712,-0.870,-32.777,0,0,0,1,0,1,
	48.250,-84.851,-66.195,31.982,26.950,-577.300,0.000,25.160,-1.190,-31.707,0,0,0,1,0,1,
	48.256,-84.851,-66.195,31.982,26.950,-577.950,0.000,25.160,-1.190,-31.707,0,0,0,1,0,1,
	48.261,-84.851,-66.195,31.982,26.950,-578.850,0.000,25.160,-1.190,-31.707,0,0,0,1,0,1,
	48.265,-84.321,-66.225,31.369,26.950,-579.450,0.000,26.480,-1.510,-30.644,0,0,0,1,0,1,
	48.271,-84.321,-66.225,31.369,26.950,-580.600,0.000,26.480,-1.510,-30.644,0,0,0,1,0,1,
	48.277,-84.321,-66.225,31.369,26.950,-581.500,0.000,26.480,-1.510,-30.644,0,0,0,1,0,1,
	48.283,-84.321,-66.225,31.369,26.950,-582.850,0.000,26.480,-1.510,-30.644,0,0,0,1,0,1,
	48.289,-83.750,-66.262,30.795,26.950,-584.300,0.000,28.552,-1.830,-28.722,0,0,0,1,0,1,
