map
	ez_stream
end

value
	0.005,0.000,0.900,-5.000,5.750,356.900,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.012,0.000,0.900,-5.000,5.900,356.850,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.017,0.000,0.900,-5.000,6.000,356.800,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.021,0.000,0.900,-5.000,6.050,356.800,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.026,0.000,0.900,-5.000,6.150,356.750,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.030,0.000,0.900,-5.000,6.250,356.700,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.034,0.000,0.900,-5.000,6.300,356.700,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.039,0.000,0.900,-5.000,6.400,356.650,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.044,0.000,0.900,-5.000,6.500,356.600,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.047,0.000,0.900,-5.000,6.550,356.600,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.051,0.000,0.900,-5.000,6.600,356.550,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.055,0.000,0.900,-5.000,6.650,356.550,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.059,0.000,0.900,-5.000,6.750,356.500,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.065,0.000,0.900,-5.000,6.850,356.450,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.069,0.000,0.900,-5.000,6.950,356.450,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.074,0.000,0.900,-5.000,7.050,356.400,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.081,0.000,0.900,-5.000,7.150,356.350,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.085,0.000,0.900,-5.000,7.250,356.350,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.089,0.000,0.900,-5.000,7.300,356.300,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.092,0.000,0.900,-5.000,7.350,356.300,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.096,0.000,0.900,-5.000,7.450,356.250,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.099,0.000,0.900,-5.000,7.500,356.250,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.103,0.000,0.900,-5.000,7.600,356.200,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.107,0.000,0.900,-5.000,7.650,356.200,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.113,0.000,0.900,-5.000,7.750,356.150,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.118,0.000,0.900,-5.000,7.850,356.150,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.123,0.000,0.900,-5.000,7.950,356.100,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.128,0.000,0.900,-5.000,8.000,356.100,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.131,0.000,0.900,-5.000,8.100,356.100,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.136,0.000,0.900,-5.000,8.200,356.050,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.141,0.000,0.900,-5.000,8.250,356.050,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.146,0.000,0.900,-5.000,8.350,356.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.151,0.000,0.900,-5.000,8.450,356.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.155,0.000,0.900,-5.000,8.500,356.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.160,0.000,0.900,-5.000,8.600,355.950,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.165,0.000,0.900,-5.000,8.700,355.950,0.000,0.000,0.000,0.000,1,0,0,0,0,0,
	0.170,0.000,0.900,-5.000,8.800,355.900,0.000,0.000,0.000,0.000,1,0,0,0,0,0,
	0.174,0.000,0.900,-5.000,8.850,355.900,0.000,0.000,0.000,0.000,1,0,0,0,0,0,
	0.178,-0.002,0.900,-4.974,8.900,355.900,0.000,-0.093,0.000,1.297,1,0,0,0,0,0,
	0.182,-0.002,0.900,-4.974,9.000,355.850,0.000,-0.093,0.000,1.297,1,0,0,0,0,0,
	0.185,-0.002,0.900,-4.974,9.000,355.850,0.000,-0.093,0.000,1.297,1,0,0,0,0,0,
	0.188,-0.002,0.900,-4.974,9.100,355.850,0.000,-0.093,0.000,1.297,1,0,0,0,0,0,
	0.192,-0.002,0.900,-4.974,9.150,355.800,0.000,-0.093,0.000,1.297,1,0,0,0,0,0,
	0.195,-0.002,0.900,-4.974,9.200,355.800,0.000,-0.093,0.000,1.297,1,0,0,0,0,0,
	0.198,-0.004,0.900,-4.940,9.250,355.800,0.000,-0.124,0.000,1.695,1,0,0,0,0,0,
	0.203,-0.004,0.900,-4.940,9.350,355.750,0.000,-0.124,0.000,1.695,1,0,0,0,0,0,
	0.206,-0.004,0.900,-4.940,9.400,355.750,0.000,-0.124,0.000,1.695,1,0,0,0,0,0,
	0.210,-0.004,0.900,-4.940,9.450,355.750,0.000,-0.124,0.000,1.695,1,0,0,0,0,0,
	0.213,-0.004,0.900,-4.940,9.500,355.700,0.000,-0.124,0.000,1.695,1,0,0,0,0,0,
	0.217,-0.007,0.900,-4.898,9.600,355.700,0.000,-0.156,0.000,2.094,1,0,0,0,0,0,
	0.221,-0.007,0.900,-4.898,9.650,355.700,0.000,-0.156,0.000,2.094,1,0,0,0,0,0,
	0.224,-0.007,0.900,-4.898,9.700,355.650,0.000,-0.156,0.000,2.094,1,0,0,0,0,0,
	0.227,-0.007,0.900,-4.898,9.750,355.650,0.000,-0.156,0.000,2.094,1,0,0,0,0,0,
	0.231,-0.007,0.900,-4.898,9.800,355.650,0.000,-0.156,0.000,2.094,1,0,0,0,0,0,
	0.234,-0.007,0.900,-4.898,9.850,355.600,0.000,-0.156,0.000,2.094,1,0,0,0,0,0,
	0.238,-0.011,0.900,-4.848,9.900,355.600,0.000,-0.189,0.000,2.493,1,0,0,0,0,0,
	0.243,-0.011,0.900,-4.848,10.000,355.550,0.000,-0.189,0.000,2.493,1,0,0,0,0,0,
	0.248,-0.011,0.900,-4.848,10.100,355.550,0.000,-0.189,0.000,2.493,1,0,0,0,0,0,
	0.252,-0.011,0.900,-4.848,10.150,355.550,0.000,-0.189,0.000,2.493,1,0,0,0,0,0,
	0.256,-0.011,0.900,-4.848,10.200,355.500,0.000,-0.189,0.000,2.493,1,0,0,0,0,0,
