map
	ez_square
end

value
	0.00537,16.00000,1.90000,93.00000,7.25000,175.90000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.01815,16.00000,1.90000,93.00000,7.90000,175.75000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.03210,16.00000,1.90000,93.00000,8.75000,175.60000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.03924,16.00000,1.90000,93.00000,9.10000,175.60000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.04866,16.00000,1.90000,93.00000,9.65000,175.60000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.05412,16.00000,1.90000,93.00000,10.00000,175.60000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.06441,16.00000,1.90000,93.00000,10.60000,175.60000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.07080,16.00000,1.90000,93.00000,11.05000,175.60000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.07595,16.00000,1.90000,93.00000,11.40000,175.65000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.08285,16.00000,1.90000,93.00000,11.80000,175.70000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.08709,16.00000,1.90000,93.00000,12.05000,175.75000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.09985,16.00000,1.90000,93.00000,12.85000,175.90000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.10561,16.00000,1.90000,93.00000,13.20000,175.95000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.11036,16.00000,1.90000,93.00000,13.45000,176.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.11661,16.00000,1.90000,93.00000,13.90000,176.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.12126,16.00000,1.90000,93.00000,14.15001,176.15000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.12595,16.00000,1.90000,93.00000,14.50000,176.20000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.13528,16.00000,1.90000,93.00000,15.10000,176.30000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.14200,16.00000,1.90000,93.00000,15.55000,176.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.14845,16.00000,1.90000,93.00000,16.00000,176.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.15815,16.00000,1.90000,93.00000,16.65001,176.40000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.17411,16.00000,1.90000,93.00000,17.80000,176.45000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.18424,16.00000,1.90000,93.00000,18.50000,176.50000,0.00000,0.00000,0.00000,0.00000,1,0,0,0,0,0,
	0.19223,16.00159,1.90000,92.97404,19.05000,176.60000,0.00000,0.07936,0.00000,-1.29758,1,0,0,0,0,0,
	0.20439,16.00159,1.90000,92.97404,19.95000,176.75000,0.00000,0.07936,0.00000,-1.29758,1,0,0,0,0,0,
	0.20900,16.00355,1.90000,92.94010,20.30000,176.80000,0.00000,0.09812,0.00000,-1.69716,1,0,0,0,0,0,
	0.21618,16.00355,1.90000,92.94010,20.75001,176.95000,0.00000,0.09812,0.00000,-1.69716,1,0,0,0,0,0,
	0.22284,16.00355,1.90000,92.94010,21.30000,177.10000,0.00000,0.09812,0.00000,-1.69716,1,0,0,0,0,0,
	0.23344,16.00579,1.90000,92.89816,21.95001,177.30000,0.00000,0.11194,0.00000,-2.09700,1,0,0,0,0,0,
	0.23863,16.00579,1.90000,92.89816,22.40000,177.40000,0.00000,0.11194,0.00000,-2.09700,1,0,0,0,0,0,
	0.24298,16.00579,1.90000,92.89816,22.70000,177.50000,0.00000,0.11194,0.00000,-2.09700,1,0,0,0,0,0,
	0.25322,16.00820,1.90000,92.84822,23.35000,177.75000,0.00000,0.12067,0.00000,-2.49704,1,0,0,0,0,0,
	0.25819,16.00820,1.90000,92.84822,23.75001,177.85000,0.00000,0.12067,0.00000,-2.49704,1,0,0,0,0,0,
	0.26678,16.00820,1.90000,92.84822,24.35000,178.05000,0.00000,0.12067,0.00000,-2.49704,1,0,0,0,0,0,
	0.27093,16.01063,1.90000,92.79028,24.60000,178.10000,0.00000,0.12147,0.00000,-2.89734,1,0,0,0,0,0,
	0.27673,16.01063,1.90000,92.79028,25.00000,178.25000,0.00000,0.12147,0.00000,-2.89734,1,0,0,0,0,0,
	0.28316,16.01063,1.90000,92.79028,25.40001,178.35000,0.00000,0.12147,0.00000,-2.89734,1,0,0,0,0,0,
	0.28739,16.01063,1.90000,92.79028,25.65001,178.45000,0.00000,0.12147,0.00000,-2.89734,1,0,0,0,0,0,
	0.29322,16.01301,1.90000,92.72432,26.05000,178.55000,0.00000,0.11893,0.00000,-3.29765,1,0,0,0,0,0,
	0.30022,16.01301,1.90000,92.72432,26.45000,178.70000,0.00000,0.11893,0.00000,-3.29765,1,0,0,0,0,0,
	0.30620,16.01301,1.90000,92.72432,26.80000,178.80000,0.00000,0.11893,0.00000,-3.29765,1,0,0,0,0,0,
	0.31086,16.01528,1.90000,92.65036,27.15000,178.90000,0.00000,0.11372,0.00000,-3.69795,1,0,0,0,0,0,
	0.31605,16.01528,1.90000,92.65036,27.40000,179.00000,0.00000,0.11372,0.00000,-3.69795,1,0,0,0,0,0,
	0.32097,16.01528,1.90000,92.65036,27.70000,179.10010,0.00000,0.11372,0.00000,-3.69795,1,0,0,0,0,0,
	0.32548,16.01528,1.90000,92.65036,27.90001,179.15010,0.00000,0.11372,0.00000,-3.69795,1,0,0,0,0,0,
	0.33434,16.01739,1.90000,92.56840,28.40000,179.30000,0.00000,0.10534,0.00000,-4.09823,1,0,0,0,0,0,
	0.34021,16.01739,1.90000,92.56840,28.65000,179.40010,0.00000,0.10534,0.00000,-4.09823,1,0,0,0,0,0,
	0.34803,16.01739,1.90000,92.56840,29.05000,179.50010,0.00000,0.10534,0.00000,-4.09823,1,0,0,0,0,0,
	0.35610,16.01926,1.90000,92.47843,29.40001,179.55010,0.00000,0.09356,0.00000,-4.49848,1,0,0,0,0,0,
	0.36070,16.01926,1.90000,92.47843,29.60000,179.60010,0.00000,0.09356,0.00000,-4.49848,1,0,0,0,0,0,
	0.37305,16.02094,1.90000,92.38046,30.20001,179.65010,0.00000,0.08392,0.00000,-4.89864,1,0,0,0,0,0,
