map
	ez_stream
end

value
	0.00466,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.01089,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.01437,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.01788,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.02181,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.02481,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.02777,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.03072,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.03416,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.03800,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.04076,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.04351,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.04629,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.04906,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.05291,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.05626,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.05933,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.06240,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.06536,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.06874,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.07156,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.07436,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.07783,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.08111,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.08417,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.08809,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.09180,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.09757,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.10134,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.10455,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.10715,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.11050,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.11339,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.11664,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.12005,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.12283,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.12593,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.12862,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.13136,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.13410,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.13819,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.14086,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.14371,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.14648,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.14926,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.15298,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.15678,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.15963,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.16253,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.16520,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.16860,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
