map
	ez_stream
end

value
	21.00229,-41.54551,-109.31330,-164.84140,8.90003,156.65110,0.00000,18.03449,4.79459,-39.00152,0,0,0,1,0,0,
	21.00639,-41.54551,-109.31330,-164.84140,8.90003,156.55110,0.00000,18.03449,4.79459,-39.00152,0,0,0,1,0,0,
	21.00990,-41.54551,-109.31330,-164.84140,8.90003,156.45110,0.00000,18.03449,4.79459,-39.00152,0,0,0,1,0,0,
	21.01319,-41.17657,-109.22380,-165.61780,8.90003,156.35120,0.00000,18.44681,4.47459,-38.82182,0,0,0,1,0,0,
	21.01995,-41.17657,-109.22380,-165.61780,8.90003,156.25120,0.00000,18.44681,4.47459,-38.82182,0,0,0,1,0,0,
	21.02348,-41.17657,-109.22380,-165.61780,8.90003,156.20120,0.00000,18.44681,4.47459,-38.82182,0,0,0,1,0,0,
	21.02696,-41.17657,-109.22380,-165.61780,8.95003,156.15120,0.00000,18.44681,4.47459,-38.82182,0,0,0,1,0,0,
	21.03007,-41.17657,-109.22380,-165.61780,8.95003,156.15120,0.00000,18.44681,4.47459,-38.82182,0,0,0,1,0,0,
	21.03315,-40.80352,-109.14070,-166.39240,8.95003,156.15120,0.00000,18.65250,4.15459,-38.73089,0,0,0,1,0,0,
	21.03657,-40.80352,-109.14070,-166.39240,8.95003,156.15120,0.00000,18.65250,4.15459,-38.73089,0,0,0,1,0,0,
	21.04081,-40.80352,-109.14070,-166.39240,8.95003,156.15120,0.00000,18.65250,4.15459,-38.73089,0,0,0,0,0,0,
	21.04547,-40.80352,-109.14070,-166.39240,8.95003,156.15120,0.00000,18.65250,4.15459,-38.73089,0,0,0,0,0,0,
	21.04941,-40.80352,-109.14070,-166.39240,8.95003,156.15120,0.00000,18.65250,4.15459,-38.73089,0,0,1,0,0,0,
	21.05429,-40.48169,-109.06410,-167.18970,8.95003,156.15120,0.00000,16.09158,3.83459,-39.86300,0,0,1,0,0,0,
	21.05706,-40.48169,-109.06410,-167.18970,8.95003,156.15120,0.00000,16.09158,3.83459,-39.86300,0,0,1,0,0,0,
	21.06021,-40.48169,-109.06410,-167.18970,8.95003,156.20120,0.00000,16.09158,3.83459,-39.86300,0,0,1,0,0,0,
	21.06265,-40.48169,-109.06410,-167.18970,8.95003,156.20120,0.00000,16.09158,3.83459,-39.86300,0,0,1,0,0,0,
	21.06642,-40.48169,-109.06410,-167.18970,8.95003,156.25120,0.00000,16.09158,3.83459,-39.86300,0,0,1,0,0,0,
	21.07034,-40.48169,-109.06410,-167.18970,8.95003,156.35120,0.00000,16.09158,3.83459,-39.86300,0,0,1,0,0,0,
	21.07415,-40.16261,-108.99380,-167.98810,9.00003,156.45110,0.00000,15.95420,3.51459,-39.92316,0,0,1,0,0,0,
	21.07914,-40.16261,-108.99380,-167.98810,9.00003,156.60120,0.00000,15.95420,3.51459,-39.92316,0,0,1,0,0,0,
	21.08447,-40.16261,-108.99380,-167.98810,9.05003,156.85110,0.00000,15.95420,3.51459,-39.92316,0,0,1,0,0,0,
	21.08997,-40.16261,-108.99380,-167.98810,9.05003,157.10110,0.00000,15.95420,3.51459,-39.92316,0,0,1,0,0,0,
	21.09489,-39.85389,-108.92990,-168.79100,9.10003,157.40120,0.00000,15.43598,3.19459,-40.14206,0,0,1,0,0,0,
	21.10000,-39.85389,-108.92990,-168.79100,9.15003,157.80110,0.00000,15.43598,3.19459,-40.14206,0,0,1,0,0,0,
	21.10408,-39.85389,-108.92990,-168.79100,9.20003,158.05120,0.00000,15.43598,3.19459,-40.14206,0,0,1,0,0,0,
	21.10798,-39.85389,-108.92990,-168.79100,9.25003,158.35120,0.00000,15.43598,3.19459,-40.14206,0,0,1,0,0,0,
	21.11332,-39.56261,-108.87240,-169.60070,9.30003,158.70110,0.00000,14.56408,2.87459,-40.48812,0,0,1,0,0,0,
	21.12070,-39.56261,-108.87240,-169.60070,9.40003,159.40110,0.00000,14.56408,2.87459,-40.48812,0,0,1,0,0,0,
	21.12595,-39.56261,-108.87240,-169.60070,9.45003,159.85110,0.00000,14.56408,2.87459,-40.48812,0,0,1,0,0,0,
	21.13177,-39.56261,-108.87240,-169.60070,9.50003,160.40110,0.00000,14.56408,2.87459,-40.48812,0,0,1,0,0,0,
	21.14013,-39.30033,-108.82130,-170.42080,9.65003,161.30110,0.00000,13.11401,2.55459,-41.00444,0,0,1,0,0,0,
	21.14389,-39.30033,-108.82130,-170.42080,9.70003,161.75120,0.00000,13.11401,2.55459,-41.00444,0,0,1,0,0,0,
	21.14711,-39.30033,-108.82130,-170.42080,9.75003,162.10110,0.00000,13.11401,2.55459,-41.00444,0,0,1,0,0,0,
	21.15305,-39.06235,-108.77660,-171.24880,9.85003,162.90120,0.00000,11.89873,2.23459,-41.39694,0,0,1,0,0,0,
	21.15846,-39.06235,-108.77660,-171.24880,9.95003,163.60120,0.00000,11.89873,2.23459,-41.39694,0,0,1,0,0,0,
	21.16202,-39.06235,-108.77660,-171.24880,10.00003,164.00110,0.00000,11.89873,2.23459,-41.39694,0,0,1,0,0,0,
	21.16902,-39.06235,-108.77660,-171.24880,10.10003,164.85110,0.00000,11.89873,2.23459,-41.39694,0,0,1,0,0,0,
	21.17404,-38.86428,-108.73830,-172.08750,10.20003,165.60120,0.00000,9.90348,1.91459,-41.93713,0,0,1,0,0,0,
	21.18094,-38.86428,-108.73830,-172.08750,10.30003,166.50110,0.00000,9.90348,1.91459,-41.93713,0,0,1,0,0,0,
	21.18989,-38.86428,-108.73830,-172.08750,10.45003,167.70120,0.00000,9.90348,1.91459,-41.93713,0,0,1,0,0,0,
	21.19480,-38.70809,-108.70640,-172.93540,10.55003,168.30110,0.00000,7.80951,1.59459,-42.39364,0,0,1,0,0,0,
	21.20007,-38.70809,-108.70640,-172.93540,10.65003,168.90110,0.00000,7.80951,1.59459,-42.39364,0,0,1,0,0,0,
	21.20475,-38.70809,-108.70640,-172.93540,10.70003,169.50110,0.00000,7.80951,1.59459,-42.39364,0,0,1,0,0,0,
	21.20977,-38.70809,-108.70640,-172.93540,10.80003,170.25110,0.00000,7.80951,1.59459,-42.39364,0,0,1,0,0,0,
	21.21439,-38.58971,-108.68090,-173.78970,10.90003,170.80110,0.00000,5.91903,1.27459,-42.71845,0,0,1,0,0,0,
	21.21952,-38.58971,-108.68090,-173.78970,11.00003,171.40110,0.00000,5.91903,1.27459,-42.71845,0,0,1,0,0,0,
	21.22416,-38.58971,-108.68090,-173.78970,11.05003,171.95100,0.00000,5.91903,1.27459,-42.71845,0,0,1,0,0,0,
	21.22971,-38.58971,-108.68090,-173.78970,11.15003,172.60110,0.00000,5.91903,1.27459,-42.71845,0,0,1,0,0,0,
