map
	ez_tower
end

value
	18.003,-80.179,1.171,-3.356,21.350,-193.150,0.000,6.378,-4.710,-32.441,0,0,1,0,0,1,
	18.008,-80.179,1.171,-3.356,21.350,-192.700,0.000,6.378,-4.710,-32.441,0,0,1,0,0,1,
	18.011,-80.179,1.171,-3.356,21.350,-192.200,0.000,6.378,-4.710,-32.441,0,0,1,0,0,1,
	18.015,-80.179,1.171,-3.356,21.350,-191.750,0.000,6.378,-4.710,-32.441,0,0,1,0,0,1,
	18.019,-80.179,1.171,-3.356,21.350,-191.350,0.000,6.378,-4.710,-32.441,0,0,1,0,0,1,
	18.023,-80.076,1.071,-4.009,21.350,-191.000,0.000,5.134,-5.030,-32.691,0,0,1,0,0,1,
	18.030,-80.076,1.071,-4.009,21.350,-190.100,0.000,5.134,-5.030,-32.691,0,0,1,0,0,1,
	18.035,-80.076,1.071,-4.009,21.350,-189.550,0.000,5.134,-5.030,-32.691,0,0,1,0,0,1,
	18.039,-80.076,1.071,-4.009,21.350,-188.950,0.000,5.134,-5.030,-32.691,0,0,1,0,0,1,
	18.043,-80.001,0.964,-4.668,21.350,-188.500,0.000,3.765,-5.350,-32.907,0,0,1,0,0,1,
	18.047,-80.001,0.964,-4.668,21.350,-187.850,0.000,3.765,-5.350,-32.907,0,0,1,0,0,1,
	18.051,-80.001,0.964,-4.668,21.350,-187.350,0.000,3.765,-5.350,-32.907,0,0,1,0,0,1,
	18.055,-80.001,0.964,-4.668,21.350,-186.850,0.000,3.765,-5.350,-32.907,0,0,1,0,0,1,
	18.059,-80.001,0.964,-4.668,21.350,-186.400,0.000,3.765,-5.350,-32.907,0,0,1,0,0,1,
	18.065,-79.955,0.850,-5.329,21.350,-185.600,0.000,2.301,5.850,-33.071,0,0,1,0,0,1,
	18.070,-79.955,0.850,-5.329,21.350,-184.950,0.000,2.301,5.850,-33.071,0,0,1,0,0,1,
	18.073,-79.955,0.850,-5.329,21.350,-184.450,0.000,2.301,5.850,-33.071,0,0,1,0,0,1,
	18.079,-79.955,0.850,-5.329,21.350,-183.750,0.000,2.301,5.850,-33.071,0,0,1,0,0,1,
	18.082,-79.939,0.961,-5.992,21.350,-183.050,0.000,0.771,5.530,-33.171,0,0,1,0,0,1,
	18.088,-79.939,0.961,-5.992,21.350,-182.200,0.000,0.771,5.530,-33.171,0,0,1,0,0,1,
	18.092,-79.939,0.961,-5.992,21.400,-181.750,0.000,0.771,5.530,-33.171,0,0,1,0,0,1,
	18.097,-79.939,0.961,-5.992,21.400,-180.950,0.000,0.771,5.530,-33.171,0,0,1,0,0,1,
	18.102,-79.956,1.065,-6.656,21.450,-180.000,0.000,-0.850,5.210,-33.198,0,0,1,0,0,1,
	18.107,-79.956,1.065,-6.656,21.500,-179.200,0.000,-0.850,5.210,-33.198,0,0,1,0,0,1,
	18.111,-79.956,1.065,-6.656,21.550,-178.600,0.000,-0.850,5.210,-33.198,0,0,1,0,0,1,
	18.115,-79.956,1.065,-6.656,21.550,-177.800,0.000,-0.850,5.210,-33.198,0,0,1,0,0,1,
	18.120,-79.956,1.065,-6.656,21.600,-176.850,0.000,-0.850,5.210,-33.198,0,0,1,0,0,1,
	18.124,-80.021,1.163,-7.318,21.600,-176.200,0.000,-3.222,4.890,-33.067,0,0,1,0,0,1,
	18.128,-80.021,1.163,-7.318,21.650,-175.600,0.000,-3.222,4.890,-33.067,0,0,1,0,0,1,
	18.132,-80.021,1.163,-7.318,21.650,-175.000,0.000,-3.222,4.890,-33.067,0,0,1,0,0,1,
	18.139,-80.021,1.163,-7.318,21.700,-173.900,0.000,-3.222,4.890,-33.067,0,0,1,0,0,1,
	18.143,-80.119,1.254,-7.975,21.750,-173.150,0.000,-4.922,4.570,-32.886,0,0,1,0,0,1,
	18.147,-80.119,1.254,-7.975,21.750,-172.550,0.000,-4.922,4.570,-32.886,0,0,1,0,0,1,
	18.153,-80.119,1.254,-7.975,21.750,-171.800,0.000,-4.922,4.570,-32.886,0,0,1,0,0,1,
	18.157,-80.119,1.254,-7.975,21.750,-170.900,0.000,-4.922,4.570,-32.886,0,0,1,0,0,1,
	18.161,-80.119,1.254,-7.975,21.800,-170.450,0.000,-4.922,4.570,-32.886,0,0,1,0,0,1,
	18.164,-80.257,1.339,-8.626,21.800,-169.900,0.000,-6.896,4.250,-32.554,0,0,1,0,0,1,
	18.168,-80.257,1.339,-8.626,21.800,-169.350,0.000,-6.896,4.250,-32.554,0,0,1,0,0,1,
	18.172,-80.257,1.339,-8.626,21.800,-168.650,0.000,-6.896,4.250,-32.554,0,0,1,0,0,1,
	18.178,-80.257,1.339,-8.626,21.800,-168.000,0.000,-6.896,4.250,-32.554,0,0,1,0,0,1,
	18.184,-80.423,1.418,-9.272,21.850,-167.200,0.000,-8.288,3.930,-32.258,0,0,1,0,0,1,
	18.188,-80.423,1.418,-9.272,21.850,-166.600,0.000,-8.288,3.930,-32.258,0,0,1,0,0,1,
	18.192,-80.423,1.418,-9.272,21.850,-166.050,0.000,-8.288,3.930,-32.258,0,0,1,0,0,1,
	18.196,-80.423,1.418,-9.272,21.850,-165.600,0.000,-8.288,3.930,-32.258,0,0,1,0,0,1,
	18.200,-80.423,1.418,-9.272,21.900,-165.200,0.000,-8.288,3.930,-32.258,0,0,1,0,0,1,
	18.206,-80.620,1.490,-9.908,21.900,-164.700,0.000,-9.861,3.610,-31.842,0,0,1,0,0,1,
	18.212,-80.620,1.490,-9.908,21.950,-164.000,0.000,-9.861,3.610,-31.842,0,0,1,0,0,1,
	18.216,-80.620,1.490,-9.908,22.000,-163.750,0.000,-9.861,3.610,-31.842,0,0,1,0,0,1,
	18.222,-80.833,1.556,-10.541,22.000,-163.450,0.000,-10.671,3.290,-31.606,0,0,1,0,0,1,
	18.226,-80.833,1.556,-10.541,22.050,-163.250,0.000,-10.671,3.290,-31.606,0,0,1,0,0,1,
	18.231,-80.833,1.556,-10.541,22.100,-163.050,0.000,-10.671,3.290,-31.606,0,0,1,0,0,1,
	18.235,-80.833,1.556,-10.541,22.100,-163.000,0.000,-10.671,3.290,-31.606,0,0,1,0,0,1,
	18.239,-80.833,1.556,-10.541,22.100,-162.950,0.000,-10.671,3.290,-31.606,0,0,1,0,0,1,
	18.242,-81.056,1.615,-11.170,22.150,-162.950,0.000,-11.116,2.970,-31.470,0,0,1,0,0,1,
	18.246,-81.056,1.615,-11.170,22.150,-162.950,0.000,-11.116,2.970,-31.470,0,0,1,0,0,1,
	18.249,-81.056,1.615,-11.170,22.150,-162.950,0.000,-11.116,2.970,-31.470,0,0,1,0,0,1,
